Semana,Município,Casos
2025-02-16,GASPAR,0
2025-02-16,PORTO BELO,0
2025-02-16,BENEDITO NOVO,0
2025-02-16,GUARAMIRIM,0
2025-02-16,INDAIAL,0
2025-02-16,DIONÍSIO CERQUEIRA,0
2025-02-16,CUNHA PORÃ,0
2025-02-16,ASCURRA,0
2025-02-16,ITAJAÍ,2
2025-02-16,PALMITOS,0
2025-02-16,VIDEIRA,0
2025-02-16,SÃO FRANCISCO DO SUL,0
2025-02-16,PALMA SOLA,0
2025-02-16,SÃO JOSÉ,0
2025-02-16,BOM JESUS,0
2025-02-16,SÃO LOURENÇO DO OESTE,0
2025-02-16,SANTA HELENA,0
2025-02-16,BRUSQUE,0
2025-02-16,SÃO LUDGERO,0
2025-02-16,BOMBINHAS,0
2025-02-16,MARAVILHA,0
2025-02-16,SCHROEDER,0
2025-02-16,SÃO CARLOS,0
2025-02-16,SÃO JOSÉ DO CEDRO,0
2025-02-16,MONDAÍ,0
2025-02-16,GUABIRUBA,0
2025-02-16,CONCÓRDIA,0
2025-02-16,BARRA VELHA,0
2025-02-16,RODEIO,0
2025-02-16,DESCANSO,0
2025-02-16,ITAPEMA,0
2025-02-16,PORTO UNIÃO,0
2025-02-16,NAVEGANTES,0
2025-02-16,CELSO RAMOS,0
2025-02-16,SÃO BENTO DO SUL,0
2025-02-16,GARUVA,0
2025-02-16,TIJUCAS,0
2025-02-16,BALNEÁRIO CAMBORIÚ,0
2025-02-16,CORDILHEIRA ALTA,0
2025-02-16,IPORÃ DO OESTE,0
2025-02-16,CAIBI,0
2025-02-16,ARAQUARI,0
2025-02-16,GOVERNADOR CELSO RAMOS,0
2025-02-16,JARDINÓPOLIS,0
2025-02-16,IBIRAMA,0
2025-02-16,CHAPECÓ,1
2025-02-16,DONA EMMA,0
2025-02-16,CAMBORIÚ,0
2025-02-16,CORUPÁ,0
2025-02-16,PASSOS MAIA,2
2025-02-16,ITÁ,0
2025-02-16,JOAÇABA,0
2025-02-16,XANXERÊ,0
2025-02-16,POMERODE,0
2025-02-16,PENHA,0
2025-02-16,GUARUJÁ DO SUL,0
2025-02-16,PINHALZINHO,0
2025-02-23,VIDEIRA,0
2025-02-23,XANXERÊ,0
2025-02-23,SANTA HELENA,0
2025-02-23,IPORÃ DO OESTE,0
2025-02-23,ARAQUARI,0
2025-02-23,SÃO JOSÉ,1
2025-02-23,PALMA SOLA,0
2025-02-23,MONDAÍ,0
2025-02-23,CORUPÁ,0
2025-02-23,SÃO FRANCISCO DO SUL,1
2025-02-23,ITAJAÍ,4
2025-02-23,PINHALZINHO,0
2025-02-23,PALMITOS,0
2025-02-23,JARDINÓPOLIS,0
2025-02-23,SÃO MIGUEL DO OESTE,2
2025-02-23,PENHA,0
2025-02-23,ITAIÓPOLIS,0
2025-02-23,POUSO REDONDO,0
2025-02-23,FLORIANÓPOLIS,0
2025-02-23,ITÁ,0
2025-02-23,GUARAMIRIM,0
2025-02-23,BENEDITO NOVO,0
2025-02-23,GOVERNADOR CELSO RAMOS,0
2025-02-23,GASPAR,0
2025-02-23,POMERODE,0
2025-02-23,INDAIAL,0
2025-02-23,PORTO BELO,0
2025-02-23,CUNHA PORÃ,0
2025-02-23,DESCANSO,0
2025-02-23,SÃO BENTO DO SUL,0
2025-02-23,DIONÍSIO CERQUEIRA,0
2025-02-23,ASCURRA,0
2025-02-23,CORDILHEIRA ALTA,0
2025-02-23,CONCÓRDIA,0
2025-02-23,ITAPEMA,2
2025-02-23,SÃO LOURENÇO DO OESTE,0
2025-02-23,MARAVILHA,0
2025-02-23,PALHOÇA,3
2025-02-23,BRUSQUE,0
2025-02-23,CAÇADOR,0
2025-02-23,ITAPIRANGA,0
2025-02-23,CAPINZAL,0
2025-02-23,PORTO UNIÃO,0
2025-02-23,RODEIO,0
2025-02-23,BALNEÁRIO BARRA DO SUL,0
2025-02-23,TUBARÃO,0
2025-02-23,BARRA VELHA,1
2025-02-23,ABELARDO LUZ,0
2025-02-23,BALNEÁRIO CAMBORIÚ,1
2025-02-23,LINDÓIA DO SUL,0
2025-02-23,IBIRAMA,0
2025-02-23,SEARA,0
2025-02-23,IPUAÇU,0
2025-02-23,CAMBORIÚ,0
2025-02-23,BLUMENAU,0
2025-02-23,SANTO AMARO DA IMPERATRIZ,0
2025-02-23,GUARUJÁ DO SUL,0
2025-02-23,CHAPECÓ,1
2025-02-23,ITAPOÁ,0
2025-02-23,BOMBINHAS,0
2025-02-23,CELSO RAMOS,0
2025-02-23,BALNEÁRIO PIÇARRAS,0
2025-02-23,JAGUARUNA,0
2025-02-23,NAVEGANTES,0
2025-02-23,SCHROEDER,0
2025-02-23,PETROLÂNDIA,0
2025-02-23,BOM JESUS,0
2025-02-23,BIGUAÇU,0
2025-02-23,SÃO LUDGERO,0
2025-02-23,GUABIRUBA,0
2025-02-23,DONA EMMA,0
2025-02-23,TIJUCAS,0
2025-02-23,JOAÇABA,0
2025-02-23,SÃO JOSÉ DO CEDRO,0
2025-02-23,SÃO CARLOS,0
2025-02-23,RIO DO SUL,0
2025-02-23,CAMPOS NOVOS,0
2025-02-23,LAJEADO GRANDE,0
2025-02-23,LONTRAS,0
2025-02-23,GARUVA,0
2025-02-23,JOINVILLE,12
2025-02-23,CAIBI,0
2025-02-23,PASSOS MAIA,1
2025-02-23,JARAGUÁ DO SUL,3
2025-03-02,PETROLÂNDIA,0
2025-03-02,BOM JESUS,0
2025-03-02,JARDINÓPOLIS,0
2025-03-02,ABELARDO LUZ,0
2025-03-02,SÃO BENTO DO SUL,0
2025-03-02,PORTO BELO,0
2025-03-02,CELSO RAMOS,0
2025-03-02,RIO DO SUL,0
2025-03-02,SÃO MIGUEL DO OESTE,2
2025-03-02,BENEDITO NOVO,0
2025-03-02,BALNEÁRIO CAMBORIÚ,1
2025-03-02,NAVEGANTES,0
2025-03-02,JOAÇABA,0
2025-03-02,CORUPÁ,0
2025-03-02,ITAPEMA,4
2025-03-02,CORDILHEIRA ALTA,1
2025-03-02,GOVERNADOR CELSO RAMOS,0
2025-03-02,PENHA,0
2025-03-02,POMERODE,0
2025-03-02,ARAQUARI,1
2025-03-02,TIJUCAS,0
2025-03-02,GARUVA,0
2025-03-02,BARRA VELHA,1
2025-03-02,BOMBINHAS,0
2025-03-02,JAGUARUNA,0
2025-03-02,RODEIO,0
2025-03-02,ITAPIRANGA,0
2025-03-02,IBIRAMA,0
2025-03-02,ITAPOÁ,0
2025-03-02,FLORIANÓPOLIS,1
2025-03-02,GASPAR,0
2025-03-02,DIONÍSIO CERQUEIRA,0
2025-03-02,ITAJAÍ,7
2025-03-02,SÃO FRANCISCO DO SUL,0
2025-03-02,SÃO JOSÉ,5
2025-03-02,SÃO LOURENÇO DO OESTE,0
2025-03-02,SÃO LUDGERO,0
2025-03-02,SCHROEDER,0
2025-03-02,JARAGUÁ DO SUL,0
2025-03-02,JOINVILLE,8
2025-03-02,PALHOÇA,5
2025-03-02,BALNEÁRIO BARRA DO SUL,0
2025-03-02,SEARA,0
2025-03-02,BLUMENAU,0
2025-03-02,CHAPECÓ,0
2025-03-02,POUSO REDONDO,0
2025-03-02,LONTRAS,0
2025-03-02,MONDAÍ,0
2025-03-02,CAIBI,0
2025-03-02,PORTO UNIÃO,0
2025-03-02,CAMBORIÚ,0
2025-03-02,PINHALZINHO,0
2025-03-02,SANTO AMARO DA IMPERATRIZ,0
2025-03-02,LINDÓIA DO SUL,0
2025-03-02,CAPINZAL,0
